T [K],vel [m/s],dist [m],X_NH3,X_NO2,X_NO,X_N2O,X_H2,X_O2,X_O3,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_CO,X_CO2,X_HOCO,X_CH2O,X_HCO,X_NH2,X_NH,X_N,X_NNH,X_N2H4,X_N2H3,X_tHNNH,X_cHNNH,X_H2NN,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_HONO,X_HNO2,X_NO3,X_HONO2,X_H2NCO,X_HNCO,X_NCO,X_AR,X_HE,X_N2,tau [ms]
791.4752016144349,0.39739361497133363,0.5598046875,0.21364995234328604,5.615074175759366e-06,5.5136580776369713e-05,0.00013705792736397828,0.018768451922398455,0.14003149875217347,1.375250572243696e-15,1.4535566971871824e-07,8.525828288229982e-09,1.2636464588403767e-08,6.327249843329035e-06,0.04024834551673803,5.831269506667237e-06,1.6116431953901232e-15,2.4490036309938787e-15,1.5198267129099798e-16,1.1242376163067141e-15,1.033354760548672e-16,2.097605591392872e-05,6.6750638025479966e-09,5.6262541292727895e-12,1.527969005939125e-11,4.524776549524309e-05,1.586947949768877e-05,1.4640864839760477e-05,3.3159937190206933e-06,6.394756040441815e-09,1.6144078845112035e-07,1.462589027093842e-05,1.0670328107669532e-08,7.766066929748934e-06,1.1519765297312594e-15,7.142657006201628e-08,1.9034786974949176e-09,1.2881337728757889e-11,5.060264774665149e-10,1.1628508032979097e-15,1.1155907595037843e-15,1.104691350254551e-15,1.2296989760295497e-15,-1.6791490802134297e-15,0.5869689156782991,-0.7322990696721488
804.239225697385,0.40405623665465945,0.55982421875,0.21183679636528954,5.881215615982659e-06,5.9522830091790705e-05,0.00014781227376399293,0.019179658375657604,0.1390351221218297,-1.0970900525221051e-15,1.9202440417086027e-07,1.1844933364463101e-08,1.5719750362547235e-08,7.001298556512504e-06,0.04238361827898035,6.110487467261242e-06,-2.8602044007222316e-15,-2.1195137015324263e-15,-1.34161520762245e-16,-1.3547428784733122e-15,-9.126700689232653e-17,2.411433416340372e-05,9.170735140161366e-09,8.938295359072149e-12,1.8881620938199442e-11,4.84619715539835e-05,1.699928825167474e-05,1.565184382047054e-05,3.533589983170141e-06,8.333917223646674e-09,1.717778388303832e-07,1.533907405920512e-05,1.2703663332269741e-08,8.284284197313443e-06,-1.3549811182514423e-15,7.597626446133705e-08,2.0639843409325056e-09,1.595141778818589e-11,5.362180221611124e-10,-1.293292829197219e-15,-1.3877881478318804e-15,-1.3505052054453788e-15,-1.2657918841825189e-15,-4.2339261546549196e-15,0.587205592171256,-0.7152688587495626
817.5090028635829,0.41099094770433897,0.5598437500000001,0.20995928203098682,6.138424677827596e-06,6.428203957670955e-05,0.00015927434300083644,0.019598699068687265,0.137986804274206,4.687454770652225e-16,2.5349217283261265e-07,1.643666105013275e-08,1.967629771993152e-08,7.729676421179622e-06,0.04460735843768971,6.388697632404152e-06,-8.503999652963963e-17,7.554526753376797e-16,4.830800192832335e-17,2.1103031021618387e-16,3.3327532328621976e-17,2.7779047369422654e-05,1.2611065491650305e-08,1.42175599413428e-11,2.3404181519861965e-11,5.181737753344728e-05,1.8184064491703743e-05,1.673182678043008e-05,3.7637930994644366e-06,1.0875936812410992e-08,1.8266746977674725e-07,1.6052088063621284e-05,1.5165878867326218e-08,8.83208691552068e-06,2.1989010082125328e-16,8.056484242521761e-08,2.2315501206108236e-09,1.9648806794573295e-11,5.653621877710073e-10,2.54678625594298e-16,1.9473930077081523e-16,2.0042853422703923e-16,3.1942923844699235e-16,-2.631685940014546e-15,0.5874602883783596,-0.6982386478268654
831.290131919979,0.4182017562926646,0.5598632812500002,0.20801632646027765,6.382976411672373e-06,6.944928248662364e-05,0.0001714751640111442,0.020025567632393937,0.1368850206843105,5.993644908026762e-16,3.3411382266754424e-07,2.2762608273195576e-08,2.4781471433395366e-08,8.510895059516038e-06,0.046921172838706046,6.6631888855609775e-06,1.3190504165239799e-16,1.0599689086203477e-15,-7.851852482216585e-18,3.4776450678790925e-16,-6.073352090643782e-18,3.206241646234282e-05,1.734708382186923e-08,2.260503528657171e-11,2.909875299061049e-11,5.5305703241494145e-05,1.9421837589083658e-05,1.7887167245812736e-05,4.007348052010852e-06,1.4199436275822864e-08,1.941277083561211e-07,1.675844344403963e-05,1.8147042667483946e-08,9.410926442656052e-06,3.3804842580224933e-16,8.514377765312807e-08,2.404889666678518e-09,2.4050710919206556e-11,5.927448209783832e-10,3.887560495952144e-16,3.4194510421825857e-16,3.2779016161339506e-16,4.266381514381243e-16,-2.5489883765741754e-15,0.5877338633386382,-0.6812084369041682
845.5873736132618,0.42569229689403826,0.5598828125000002,0.20600686169383337,6.610938908382888e-06,7.50632331656739e-05,0.0001844458766151009,0.020460249218749824,0.135728285263547,1.0632484768206166e-15,4.3935098879859496e-07,3.1435343020361034e-08,3.140134579174877e-08,9.34189737397644e-06,0.04932658507015341,6.9308565229737165e-06,8.845010042550683e-16,1.8907459293184354e-15,5.0249727633121914e-17,8.094878301407049e-16,3.4414360142778954e-17,3.707204281560555e-05,2.38538926833977e-08,3.5892210025135674e-11,3.628840945651923e-11,5.891561265502102e-05,2.0709514806382078e-05,1.9125452600698314e-05,4.265118757277498e-06,1.852761456805958e-08,2.0617591243698753e-07,1.7450712605555528e-05,2.1752990182293947e-08,1.0022428759613568e-05,7.853441889981045e-16,8.965605524184194e-08,2.5822848519840764e-09,2.923642251728948e-11,6.175425473282847e-10,8.541463093154025e-16,8.050402994897136e-16,7.988028679088134e-16,8.766544522072244e-16,-2.1363555506581284e-15,0.5880271996127361,-0.664178225981582
860.4046187224062,0.43346581313717797,0.5599023437500001,0.20392983245518312,6.818261126876628e-06,8.116650366767339e-05,0.00019821764718195843,0.020902720956110312,0.1345151549041446,1.7012880780754983e-16,5.759925100951384e-07,4.325968739950901e-08,4.00219659796428e-08,1.0217933672073182e-05,0.051825031620771525,7.188196352395121e-06,-8.43021928050138e-16,2.23591171746171e-16,-3.3042812380158614e-17,-9.192179027665168e-17,-2.3406944853128828e-17,4.293292541276462e-05,3.277074471618992e-08,5.685047685985377e-11,4.5388699153636536e-11,6.263228454569849e-05,2.2042641636201466e-05,2.04558257846014e-05,4.538125022667008e-06,2.4134194945683505e-08,2.1882843635149967e-07,1.8120535090542414e-05,2.610626920487035e-08,1.0668450758830727e-05,-1.4151063637386244e-16,9.403575463039865e-08,2.761520659828364e-09,3.527026549843446e-11,6.388155627313016e-10,-2.851766443884582e-17,-1.0958446480109402e-16,-8.05217348992458e-17,-4.395068790353831e-17,-3.1390441199327925e-15,0.5883412020461333,-0.6471480150589959
875.7448571758807,0.4415251408562798,0.5599218750000001,0.20178419404733153,7.0008777291904555e-06,8.780600124551722e-05,0.00021282157957282845,0.021352952507454927,0.13324423395626175,1.6634917523743974e-16,7.524044892504939e-07,5.928160750679542e-08,5.1286761639563094e-08,1.1132528835563762e-05,0.054417857847227386,7.43131154929686e-06,-9.76058295489123e-16,1.367527647992961e-16,2.3358969378513383e-17,-9.61793767225119e-17,1.736554356065124e-17,4.9789537901444605e-05,4.495223135780446e-08,8.97379744189281e-11,5.693450126754623e-11,6.643696656771021e-05,2.341511361325626e-05,2.1889375188495987e-05,4.827588784676515e-06,3.1346982153356715e-08,2.3210022387897163e-07,1.875866572808907e-05,3.134625207762382e-08,1.1351150497638096e-05,-1.662211367456694e-16,9.820788097250959e-08,2.9398478474578015e-09,4.220079795612384e-11,6.555298419838196e-10,-2.5130016111650932e-17,-1.3677494394312801e-16,-6.598350991727118e-17,-7.549815639757846e-17,-3.1839922764827125e-15,0.5886767962338352,-0.6301178041364097
891.6101478423813,0.44987269110420114,0.5599414062500001,0.1995689105773179,7.154825541539287e-06,9.503330904503911e-05,0.00022828861901364903,0.021810906727033508,0.1319141787174411,-6.251170313509937e-16,9.788125364824238e-07,8.084375676829481e-08,6.603834558493732e-08,1.2077562937814627e-05,0.057106313544570596,7.65593525173145e-06,-2.4200993695955705e-15,-1.2791083338222631e-15,-1.3204515860444358e-16,-8.844841955668899e-16,-9.513409501669849e-17,5.7807901713373895e-05,6.153277049449749e-08,1.4101665668333923e-10,7.161466183483132e-11,7.030652682661251e-05,2.481883154287405e-05,2.3439596688981963e-05,5.134990703181528e-06,4.054652438746449e-08,2.46004280718976e-07,1.935507525366896e-05,3.762792146777137e-08,1.2073072879926292e-05,-9.613209528866632e-16,1.0208852491374954e-07,3.113947083923027e-09,5.0044249723199124e-11,6.665810040077725e-10,-8.117001438276455e-16,-9.49542691956205e-16,-8.264813652361427e-16,-8.733072027554341e-16,-3.956054986811881e-15,0.5890349266483879,-0.6130875932138236
899.7418309088761,0.4541561162060974,0.5599511718750001,0.19843461638706367,7.21959877762204e-06,9.888978875007432e-05,0.00023635939999678123,0.022042793556017612,0.1312263449877169,4.979325295822545e-16,1.115471961697808e-06,9.43472928642914e-08,7.511469442911401e-08,1.2557977595558445e-05,0.05848707098313206,7.7595656286453e-06,-5.753775887838718e-16,5.679683037441562e-16,2.1291210271596762e-16,2.4306377180119473e-16,1.615169087103729e-16,6.232554413712582e-05,7.20396563682054e-08,1.7721961803135527e-10,8.042549507324006e-11,7.225537235567446e-05,2.5528556569756805e-05,2.4264862868217537e-05,5.296134663950002e-06,4.605382820965263e-08,2.531987632028797e-07,1.963359019290468e-05,4.1224133471905214e-08,1.2449969068996988e-05,1.629823609843633e-16,1.0388451719195559e-07,3.1979498440746138e-09,5.4304651726100485e-11,6.695549585605957e-10,3.0842958778326914e-16,1.7947034057000885e-16,3.0173663795012607e-16,2.5419316329756733e-16,-2.828523201254165e-15,0.5892228282111631,-0.6045724877525305
908.0068319436824,0.4585132137627878,0.5599609375000001,0.19728231892611844,7.275666298979135e-06,0.00010291751454196327,0.0002446618855188132,0.0222766152318576,0.13052300697768485,-2.615646646363048e-16,1.2695958041119993e-06,1.0994138171004612e-07,8.551877650385372e-08,1.304224088564552e-05,0.05989247811311341,7.856728172946242e-06,-1.779613099519037e-15,-5.488510277315196e-16,-1.8047360366154502e-16,-5.197320244346582e-16,-1.3890273052088922e-16,6.721057986929779e-05,8.426961954822756e-08,2.2224422316216394e-10,9.038177383908125e-11,7.420956961990004e-05,2.624197864166426e-05,2.51263591520355e-05,5.462561853466399e-06,5.2229957960482596e-08,2.6055748667762216e-07,1.9897423706255038e-05,4.514982284868026e-08,1.283803857584863e-05,-6.104603718989182e-16,1.0557008805121618e-07,3.279332267137349e-09,5.878410537062929e-11,6.706521547331836e-10,-4.490154309925475e-16,-5.850036835700602e-16,-4.563770054241833e-16,-5.183555360191925e-16,-3.615860867056131e-15,0.5894168230500667,-0.5960573822912374
916.4051317094468,0.4629441601001265,0.5599707031250001,0.196111888423756,7.322611244812495e-06,0.00010712460442371567,0.00025320000708089124,0.022512365361011057,0.1298040085082927,6.370916534430803e-16,1.443177811910215e-06,1.2792116183968803e-07,9.745364894904768e-08,1.3528843216195252e-05,0.06132266498846867,7.946798624707793e-06,-3.2564929297821577e-16,8.931476629990067e-16,1.3661792294566122e-16,3.9532299959726633e-16,1.0179854654089582e-16,7.249097680264424e-05,9.849236527059097e-08,2.7819315611435714e-10,1.016374693814316e-10,7.616467768088668e-05,2.6957308296670812e-05,2.602675952162296e-05,5.634569356633696e-06,5.913226293349247e-08,2.680812627703324e-07,2.0145166441447946e-05,4.942799052735335e-08,1.3237764655677082e-05,2.926770373878618e-16,1.0713232477710276e-07,3.3575169253859675e-09,6.347499627794035e-11,6.697425033708587e-10,4.479738778832872e-16,3.172685942590889e-16,4.466946403250516e-16,3.8778093995822833e-16,-2.6832634826506672e-15,0.5896170373417303,-0.5875422768299443
924.9366449695589,0.4674491006048942,0.5599804687500001,0.19492319567489197,7.360044832423397e-06,0.00011151956250748514,0.0002619776622248068,0.02275003725835852,0.1290691977417579,3.9893467229051853e-16,1.638396249024905e-06,1.4861678141739794e-07,1.1114905407542427e-07,1.401623057121272e-05,0.06277775427889071,8.029141519631973e-06,-7.273276685398534e-16,5.358616295740706e-16,1.7975411310939094e-17,1.6160639253174715e-16,7.958160227648154e-18,7.819640025431054e-05,1.1501568501634188e-07,3.476180823605346e-10,1.143675323269678e-10,7.81158904965284e-05,2.7672539396079308e-05,2.6969004546913724e-05,5.812485692516714e-06,6.681706073578237e-08,2.7577062520152574e-07,2.0375403623403997e-05,5.4081816317778295e-08,1.3649677033598798e-05,4.7189525185625203e-17,1.0855799428545994e-07,3.4318904635431783e-09,6.835979822614044e-11,6.667004219775232e-10,2.1566587900322456e-16,7.972885260248075e-17,2.1835579642101746e-16,1.44490649353692e-16,-2.928044711200316e-15,0.5898235979692013,-0.5790271713686512
933.6012195462379,0.4720281491448916,0.5599902343750001,0.19371611211719528,7.387609514373191e-06,0.00011611129465380914,0.0002709987090492295,0.02298962397699981,0.12831842738022942,2.1376394736077313e-16,1.8576282129343617e-06,1.7239674488658613e-07,1.2686722441894047e-07,1.4502816386081466e-05,0.06425786099099245,8.10311370685765e-06,-1.128847121597511e-15,1.5313963061788492e-16,4.031505169476e-17,-1.491577211103134e-17,3.1835422868528675e-17,8.435823896538473e-05,1.3419027043727945e-07,4.3362428191597755e-10,1.2877087142071686e-10,8.00580286045695e-05,2.8385432158245414e-05,2.795632149937074e-05,5.9966738612995545e-06,7.533768757841797e-08,2.836258083426414e-07,2.0586727298429427e-05,5.913438014414056e-08,1.4074356325343043e-05,-1.4226142780226513e-16,1.0983364840368432e-07,3.5018176401575167e-09,7.342103674507584e-11,6.614191972339427e-10,4.438071310790539e-17,-1.0478940325611023e-16,4.6897729351174044e-17,-4.5088314580220135e-17,-3.13308274999964e-15,0.5900366323995342,-0.5705120659073581
942.3986353902142,0.4766813874659969,0.56,0.19249050994035422,7.404981762063775e-06,0.00012090912462412668,0.0002802669601112402,0.023231118338597572,0.12755155487954772,-3.4052786042479566e-16,2.1034644455938022e-06,1.9967138355177553e-07,1.4490791034150003e-07,1.4986995094491117e-05,0.06576309215913222,8.168068282548537e-06,-2.1251027063676573e-15,-7.986509028019455e-16,-9.62739742126654e-17,-5.649129069219029e-16,-7.031125228740706e-17,9.100962126032977e-05,1.5641497029034456e-07,5.399760884095374e-10,1.4507360968621152e-10,8.198553303283624e-05,2.909349616731241e-05,2.8992243644908688e-05,6.187534461651648e-06,8.474206351484336e-08,2.9164670791965116e-07,2.077774974811128e-05,6.460832154899397e-08,1.4512438524109936e-05,-7.054700188117058e-16,1.1094573358771694e-07,3.5666404383539403e-09,7.863551495846927e-11,6.538098668716131e-10,-5.037924495444383e-16,-6.661911397392071e-16,-4.955831891184875e-16,-6.074617820869278e-16,-3.706655736848479e-15,0.5902562685499934,-0.5619969604460651
951.3286036629846,0.48140886459519894,0.560009765625,0.1912462622334159,7.411874518310074e-06,0.0001259228107174878,0.0002897861756364836,0.02347451296403107,0.12676844268110174,-2.238491369883943e-16,2.378724645479821e-06,2.3089645929364573e-07,1.6561361758439202e-07,1.546715691013021e-05,0.06729354650056416,8.223358975254825e-06,-1.976806504539846e-15,-6.435762504882978e-16,-2.6042807068305136e-17,-4.427760457787211e-16,-1.492651476900677e-17,9.818541868360269e-05,1.8214253975396606e-07,6.712299761441162e-10,1.6353284317347003e-10,8.389246189519607e-05,2.979397388287259e-05,3.0080628021317137e-05,6.385508861939681e-06,9.506974974279415e-08,2.998328488123269e-07,2.0947118033706928e-05,7.052546298298978e-08,1.4964619506723076e-05,-5.906918826046594e-16,1.1188073137415945e-07,3.625686837483417e-09,8.397727109946295e-11,6.438090337854285e-10,-3.866170078139301e-16,-5.431521456801298e-16,-3.753399726167787e-16,-4.911962325215985e-16,-3.586990014148629e-15,0.5904826346409625,-0.553481854984772
