T [K],vel [m/s],dist [m],X_NO,X_NH3,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_NH2,X_NH,X_N,X_NNH,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_AR,X_HE,X_N2,tau [ms]
1027.3421655999948,0.2556282867131489,0.017508544921875,0.000579890475585249,0.18771807000229826,0.013312123160303736,0.12077304837719399,1.2898886396083079e-08,1.647557417633858e-09,5.017058238682559e-08,6.400412970558724e-06,0.08138262732193122,5.5261238583883097e-05,7.745183624134896e-06,1.4541653718098203e-09,1.0834006664978686e-13,2.4697422795788613e-10,1.3121349607375287e-05,6.616363516944938e-05,1.5193799226080238e-06,8.230628861639492e-06,3.3860179945394024e-07,0.00018397885080847012,2.6357333688403818e-05,2.645560158891515e-08,1.474491164881657e-10,2.7512011201389192e-08,0.0006046742130947882,2.2405671991227444e-05,5.803483954756476e-06,1.3980603695504848e-05,1.7688740874479171e-07,1.8147451345848055e-14,2.167408306625072e-14,0.5952179626541306,-0.12879038993565683
1033.6261699307922,0.25725802232006856,0.0175091552734375,0.0005904692035991532,0.18693792902723372,0.013394433124106889,0.12019630992462357,1.4480910374482186e-08,1.8707749316582763e-09,5.45678029296615e-08,6.739177045598426e-06,0.08247202340883845,5.571761122555055e-05,8.267791140444188e-06,1.6383041821571088e-09,1.2219899429482849e-13,2.685827725667871e-10,1.3330774239513611e-05,6.781210114333022e-05,1.5966020648136062e-06,8.489989963833815e-06,3.4402408579825833e-07,0.0001867736192820631,2.6010217608809566e-05,2.6729678416228984e-08,1.6110752822177624e-10,2.653303108033469e-08,0.0006164337383927674,2.2961671222887428e-05,5.944583096717711e-06,1.4254723286146417e-05,1.914534101046296e-07,8.865839727684258e-15,1.2225423977268838e-14,0.5953738409840545,-0.12771713668619303
1039.9635129004914,0.2589025300828572,0.017509765625,0.0006012320057664054,0.18615130897401536,0.013477111569910261,0.11961275612582137,1.625802621817036e-08,2.1239293528360743e-09,5.937689750854176e-08,7.094378712256257e-06,0.08357149824931744,5.615013142492085e-05,8.8257034158376e-06,1.845817815613232e-09,1.464438188945463e-13,2.920910355554313e-10,1.3542405379374092e-05,6.950059524788447e-05,1.6778512569100684e-06,8.761493155065302e-06,3.495119355883239e-07,0.0001895654105411818,2.563655981262469e-05,2.6971255381854396e-08,1.7592226532945684e-10,2.555559172952899e-08,0.0006283657319128985,2.3532419767920833e-05,6.089378021806435e-06,1.4535526433808062e-05,2.0724822461397805e-07,5.8678654243279304e-15,9.161592420348256e-15,0.5955321261302338,-0.1266438834367327
1046.3540580249173,0.2605618002965836,0.0175103759765625,0.0006121815632759184,0.1853581977706076,0.013560157818998622,0.11902236787678819,1.8254244349743538e-08,2.410961751183384e-09,6.463670902681492e-08,7.466567064751191e-06,0.08468105644540372,5.655682801961463e-05,9.421118986805274e-06,2.0796638761106763e-09,1.8565798410226926e-13,3.176610402845911e-10,1.3756207749746497e-05,7.12297426288463e-05,1.7633104088497568e-06,9.045668759749161e-06,3.550656485720606e-07,0.00019235131307500678,2.5236770627901692e-05,2.7178366997491202e-08,1.919770787249337e-10,2.4584755813687903e-08,0.0006404710589283344,2.4118301790365012e-05,6.23799217529744e-06,1.4823304109746029e-05,2.243730563828117e-07,1.3377622841268819e-14,1.672675798679047e-14,0.5956928412473403,-0.12557063018726888
1052.7976567929754,0.2622358203197678,0.017510986328125,0.0006233204910069807,0.1845585839645387,0.013643571259262148,0.11842512749128435,2.0496895098509933e-08,2.7363033552499292e-09,7.039073111014234e-08,7.856279971111133e-06,0.085800700726014,5.6935661862460295e-05,1.0056346614335029e-05,2.343155984074997e-09,2.2371872878588599e-13,3.4546710641749607e-10,1.3972140320077106e-05,7.300013386105874e-05,1.853168538087636e-06,9.34305823387351e-06,3.6068548988522077e-07,0.00019512825861567988,2.4811401054867993e-05,2.7349057911849702e-08,2.093382293380138e-10,2.362533218580022e-08,0.000652750541376229,2.4719698470887836e-05,6.390553876490933e-06,1.5118366257001593e-05,2.429368435236167e-07,1.1903439810478035e-14,1.5103825177498502e-14,0.5958560093399765,-0.12449737693780508
1065.8425978471348,0.2656278435916442,0.017512207031249998,0.0006461721358463135,0.18293988401494202,0.013811490224965339,0.11721012870595088,2.5815368073954468e-08,3.5167310303420933e-09,8.3536596831826e-08,8.689686069544994e-06,0.08807012222902426,5.760363829008863e-05,1.1453229442826609e-05,2.970204950106427e-09,3.280560274106988e-13,4.0844964688784334e-10,1.4410228013721147e-05,7.66659014326615e-05,2.0466294300123085e-06,9.979018004285561e-06,3.7212364182746495e-07,0.00020064555339483175,2.388625791778759e-05,2.7575071063512463e-08,2.4825274425764647e-10,2.1754196837159746e-08,0.0006778321527998886,2.5970005527304885e-05,6.707879595265093e-06,1.57312655953701e-05,2.847209169495128e-07,9.807836436160965e-15,1.2779408868569443e-14,0.5961897585739768,-0.12235087043888093
1079.0961445597766,0.269078237231748,0.017513427734374996,0.0006698036055727532,0.18129522201876155,0.013980863234164581,0.11596778713208221,3.250335242826827e-08,4.514221206873313e-09,9.923734392992528e-08,9.598774887208276e-06,0.09037957934980817,5.8135453233972425e-05,1.3038789799224772e-05,3.764061907622914e-09,4.847712245894901e-13,4.827747680625291e-10,1.4856114422975821e-05,8.050127212101232e-05,2.2598920391808434e-06,1.06740575261386e-05,3.8382715010261195e-07,0.0002060870687790047,2.286997354839029e-05,2.7638833533996973e-08,2.933897423331294e-10,1.997693416992884e-08,0.0007036115650953812,2.7286054628792185e-05,7.0424836073168e-06,1.637721547296784e-05,3.3369034865164914e-07,1.021849597760642e-14,1.3206814395123174e-14,0.5965335000155303,-0.12020436393995332
1092.556657795021,0.2725867882467999,0.0175146484375,0.0006942317791378449,0.17962453357423072,0.01415168909542483,0.1146980214510631,4.089191906893499e-08,5.784449089233519e-09,1.1796609280578091e-07,1.0587242951382088e-05,0.09272901830924943,5.851320348764184e-05,1.4835606830441493e-05,4.767256428424878e-09,7.204068971177153e-13,5.70382994508198e-10,1.5309209643500956e-05,8.450915758505948e-05,2.494597439167507e-06,1.1432743836106811e-05,3.957977778613124e-07,0.0002114227577343784,2.177233388217428e-05,2.7532702422326564e-08,3.454295216229891e-10,1.8316548225055125e-08,0.0007300934446009015,2.8670496143988362e-05,7.395555979869017e-06,1.705944996713844e-05,3.910022248328833e-07,1.5874054095521537e-14,1.8797171560334474e-14,0.5968874070152741,-0.11805785744102223
1106.2222659532958,0.27615322583054985,0.017515869140625,0.0007194711864632875,0.17792776824696102,0.014323968743447569,0.11340077944433728,5.138492190208026e-08,7.395822746697373e-09,1.4027120310516305e-07,1.1658320518535221e-05,0.09511834685705109,5.871873028020357e-05,1.6868327028688396e-05,6.032666298862503e-09,1.0558201135198047e-12,6.735168202499769e-10,1.5768770303083952e-05,8.869129321666542e-05,2.752431083720567e-06,1.225966892222691e-05,4.0803700243410446e-07,0.00021661998044785515,2.0605523767273446e-05,2.725323380775143e-08,4.05002317058674e-10,1.6787202435134257e-08,0.0007572816078208885,3.012564746766169e-05,7.768359989825044e-06,1.7781621094114732e-05,4.5796884405705053e-07,7.288424088367643e-15,9.981707504097346e-15,0.59725164902931,-0.11591135094209115
1113.1316371889852,0.27795813270796926,0.0175164794921875,0.000732400548490518,0.17706955997594456,0.014410658863002563,0.11274180349227972,5.759998238130806e-08,8.360885479407677e-09,1.5298455233440054e-07,1.2225950441027146e-05,0.09632798220414318,5.875000275358083e-05,1.7983437114112535e-05,6.788380654043602e-09,1.2914617368518757e-12,7.317871445118586e-10,1.6000639335656173e-05,9.084802472897764e-05,2.8906843524361492e-06,1.2700498878621807e-05,4.142581887165948e-07,0.00021915334153649362,2.0001499153007624e-05,2.704970420638506e-08,4.378514765443666e-10,1.6073893449101608e-08,0.0007711427352943219,3.0880523373071575e-05,7.962686591284445e-06,1.8159273249330382e-05,4.956377237903072e-07,1.2535346871309543e-14,1.5172609523611926e-14,0.5974377156950689,-0.11483809769262734
1120.0918179214527,0.2797774747413146,0.01751708984375,0.000745538605340629,0.17620477900299686,0.014497716278475252,0.11207589509711711,6.453862765690799e-08,9.445290793116394e-09,1.6684266659359647e-07,1.281531785205928e-05,0.09754760615795671,5.873114393386815e-05,1.9168170829147547e-05,7.636461586819674e-09,1.5639706952462486e-12,7.949616644183262e-10,1.623377045814498e-05,9.304861600983505e-05,3.0354182952757115e-06,1.3160229238014812e-05,4.2054750333648176e-07,0.00022163820792423094,1.9385640173856276e-05,2.6803684157893226e-08,4.728038897994225e-10,1.5394986726647455e-08,0.0007851833021775688,3.165390834571858e-05,8.16250273832044e-06,1.854860201066451e-05,5.363203434309301e-07,4.730164507506136e-15,7.197156793993108e-15,0.5976264512292209,-0.11376484444316354
