T [K],vel [m/s],dist [m],X_NO,X_NH3,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_NH2,X_NH,X_N,X_NNH,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_AR,X_HE,X_N2,tau [ms]
2113.5025763599474,0.5421660033679928,0.0176318359375,0.0004743923249356669,0.027528447579735566,0.0367807806616468,0.003710960858666382,0.00019701501423543177,3.3594891529499024e-06,0.00021093995666969566,3.752752642273696e-06,0.2830896355374835,2.79408120826969e-08,0.0006637544075718788,5.310652815998943e-05,9.276758245732929e-06,1.5346979290809131e-07,4.1799574794176383e-07,2.674698222283903e-06,6.135974096949525e-07,3.091243403651441e-06,1.036588401569843e-06,1.7850719401279614e-07,1.0607286853585016e-08,7.423794678529199e-11,2.6427201927147382e-14,6.158176832748666e-13,0.00029534146468864294,1.2636382597772722e-06,2.0380571201397925e-06,6.831148956279717e-05,8.593092997130265e-07,3.6893453753663514e-14,3.877660104927296e-14,0.6468985594486963,0.09024716103109287
2116.561207266836,0.543099635997231,0.017634277343749998,0.0004501577972213408,0.026825618994623157,0.03706004498607793,0.0033806714332479722,0.0001953544497435098,3.088489186862547e-06,0.00020861983881449692,3.4075868466940077e-06,0.28364976485160054,2.569712112157117e-08,0.0006383867831796518,5.091174800784444e-05,8.999538726673775e-06,1.4151466843059713e-07,3.8557965093327333e-07,2.3779857168408574e-06,5.475639265278192e-07,2.7718251727737524e-06,1.0369612834764129e-06,1.5342624352639397e-07,9.738344352857496e-09,6.83329973117997e-11,2.0433985184204196e-14,5.151110571343455e-13,0.0002669765727497487,1.145291107882966e-06,1.8517233591088705e-06,6.319495017543527e-05,7.687514207321028e-07,3.1845905425631274e-14,3.3415913471283215e-14,0.6471835858528485,0.09464946156918785
2119.32495477138,0.5439483562962157,0.01763671875,0.0004274429045133554,0.026174585030562744,0.03732883845164373,0.0030823966191689607,0.00019352512152937996,2.8400724147386168e-06,0.0002060986930878197,3.0961904317507975e-06,0.2841544208992766,2.366717383166767e-08,0.0006143120499384548,4.877810862042187e-05,8.710086530186438e-06,1.3053727612406618e-07,3.564241634009389e-07,2.1189666208225096e-06,4.895766310464135e-07,2.491252116860374e-06,1.0372727503430471e-06,1.3230216103659414e-07,8.955638699818914e-09,6.298750242307155e-11,1.565957504268403e-14,4.3245225065142556e-13,0.00024158863775834393,1.0412702426621599e-06,1.6854401379761345e-06,5.852057987644259e-05,6.893838603209033e-07,1.9294610934943438e-14,2.0697423029908512e-14,0.6474446414423983,0.09905176210728978
2121.8228508275015,0.5447204270942761,0.01763916015625,0.00040616837803725286,0.02557051997261525,0.03758784108184303,0.0028128526008005645,0.00019156264882357312,2.6128803517731475e-06,0.00020342230512001606,2.8152149939549405e-06,0.28460922967156305,2.1828362257569506e-08,0.0005914950452396569,4.67150815031527e-05,8.413102189157817e-06,1.2048361206124152e-07,3.301578400698837e-07,1.8923817439434105e-06,4.3857616500778096e-07,2.244451708839051e-06,1.0375316412559773e-06,1.1445098114815342e-07,8.249938448842733e-09,5.814619818455328e-11,1.270024703594684e-14,3.6455708081820414e-13,0.00021887379926264556,9.495734815520118e-07,1.5369010778486297e-06,5.425191710158232e-05,6.197051406568995e-07,3.407361179350207e-14,3.56976151205174e-14,0.6476839119502691,0.10345406264539864
2124.08107120943,0.545423311187718,0.017641601562499998,0.0003862542004733399,0.025009053017690686,0.03783769120001408,0.002569093836086454,0.000189498732345327,2.405482678963095e-06,0.00020063097956168335,2.5616202732586457e-06,0.2850192476712295,2.016080387183084e-08,0.0005698928812638698,4.472940687157026e-05,8.112627585274843e-06,1.112944500074812e-07,3.0645557049791993e-07,1.6937565827594352e-06,3.9364869617044544e-07,2.0270306015911716e-06,1.0377453955451155e-06,9.931639696376152e-08,7.61303596830591e-09,5.3759068006061814e-11,9.72136922846393e-15,3.0829004442137866e-13,0.00019855296837944727,8.685084324919973e-07,1.4040692712168369e-06,5.035438108718215e-05,5.58425118571381e-07,2.3752613102721295e-14,2.5155490639965938e-14,0.6479033929159778,0.10785636318349362
2126.1231766618685,0.5460637361769627,0.01764404296875,0.00036762100111283644,0.024486232542284003,0.03807898577625156,0.0023484820888322105,0.00018736136353369654,2.216429192784731e-06,0.00019775989571258555,2.3326548453487456e-06,0.2853890122527205,1.864696119048905e-08,0.000549457512361332,4.282555596774447e-05,7.812080241649106e-06,1.0290829545085276e-07,2.850325794450914e-07,1.5192801008256693e-06,3.5400613213493714e-07,1.835187359684632e-06,1.0379204321882288e-06,8.644456740123257e-08,7.037650831744073e-09,4.9781099749369984e-11,7.924291761590026e-15,2.6175348422390763e-13,0.0001803718450665029,7.966413240810546e-07,1.2851478727651837e-06,4.679554619750098e-05,5.0443497285001e-07,2.715435669314136e-14,2.8646881932699855e-14,0.6481049007173244,0.11225866372159554
2127.9703463085316,0.546647757738424,0.017646484375,0.0003501911202643068,0.02399849096016651,0.03831228141022963,0.0021486570312194207,0.000185175077091926,2.04428822756736e-06,0.0001948395129432655,2.1258352063224426e-06,0.28572258985127474,1.7271295929861723e-08,0.0005301377520136951,4.1006139804049746e-05,7.514299889955405e-06,9.52635375638156e-08,2.6563898922438795e-07,1.365701592147075e-06,3.1896860348684126e-07,1.6656342280785103e-06,1.0380621615278495e-06,7.546361639272823e-08,6.51730182759943e-09,4.617163766839435e-11,6.092583871906678e-15,2.2293045564800129e-13,0.0001641001983548603,7.327544419460075e-07,1.1785526506263353e-06,4.3545268254440976e-05,4.56780970606851e-07,1.6048518735228307e-14,1.7488047239899642e-14,0.6482900845992355,0.1166609642597044
2129.6415996177125,0.5471808206322966,0.017648925781249998,0.00033388939843552245,0.023542610887355646,0.03853809576624231,0.0019675087300576205,0.00018296122940271765,1.8876742272542176e-06,0.00019189599986183523,1.93892458986582e-06,0.2860236214552528,1.6020017852408985e-08,0.0005118808313188464,3.927226440738274e-05,7.221602502400456e-06,8.829997016873477e-08,2.4805525992313295e-07,1.2302435624788626e-06,2.8794920228053593e-07,1.515527943569958e-06,1.0381752526584515e-06,6.606786358338248e-08,6.046233566820478e-09,4.289415643884764e-11,4.9075149358025475e-15,1.9057728376121795e-13,0.00014953066146187986,6.758109310845733e-07,1.0828869709499235e-06,4.057570297981339e-05,4.146419356295996e-07,1.8521879979192155e-14,2.024161417994146e-14,0.6484604391036319,0.12106326479779939
2131.1540046154573,0.5476678162178515,0.0176513671875,0.0003186437381077935,0.023115693108753912,0.038756909309164964,0.0018031521827024293,0.00018073829142915436,1.7452664869598815e-06,0.00018895166683096518,1.7699117737197904e-06,0.28629536494775903,1.4880850529225189e-08,0.000494633565874378,3.762383294874381e-05,6.935837599330754e-06,8.195979910870589e-08,2.3208799483347064e-07,1.1105270354900328e-06,2.6044045138920747e-07,1.382408112514986e-06,1.0382636647587086e-06,5.8004797091969356e-08,5.619322645299478e-09,3.991576962649612e-11,4.063235639226561e-15,1.6349511988709056e-13,0.00013647723187179287,6.249251789339098e-07,9.969185516794943e-07,3.786124457185144e-05,3.7730939472464564e-07,2.875548633007371e-14,3.071773860924686e-14,0.6486173164788285,0.1254655653359013
2132.522871079708,0.5481131362022681,0.01765380859375,0.00030438548631993187,0.022715126714342854,0.03896916720284461,0.0016539039624935536,0.00017852216340706695,1.6158209299931924e-06,0.00018602539750221965,1.6169900577816746e-06,0.28654073412541387,1.3842843164376572e-08,0.00047834314088387027,3.6059793603565535e-05,6.658447240938834e-06,7.618825197817057e-08,2.1756609911836731e-07,1.0045062986169653e-06,2.3600208280091336e-07,1.2641398652006346e-06,1.0383307746481972e-06,5.106460216451181e-08,5.232008650003603e-09,3.720691270268769e-11,3.23652122907295e-15,1.4069408267436908e-13,0.0001247736181885883,5.793366703339155e-07,9.195573543330009e-07,3.5378404907005466e-05,3.441695674257514e-07,3.188479423794336e-14,3.380192500242141e-14,0.648761938758029,0.12986786587400323
