T [K],vel [m/s],dist [m],X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,tau [ms]
1866.2984030936602,0.8829697912469994,0.5608789062499999,-8.378629730203686e-16,0.6308518484680298,1.0817710065273061e-15,0.04306662173146077,0.00045282599082673285,0.02853894922385219,5.5558668691738245e-05,0.23794694610446954,0.0002644944228606263,9.43906346729485e-08,9.985693673279728e-06,0.0012995618395667077,0.0012585130657347795,1.1878415605212049e-06,4.0063075301326426e-05,3.170557905924521e-10,3.439474251297248e-08,1.1591475049220281e-12,0.0002463795795243891,2.7316773022390696e-06,4.832461750790102e-07,1.55854327729976e-06,0.05381246434716826,1.6023713776515758e-06,2.4856932354593135e-05,6.588083573519184e-13,0.00017336920304536268,8.457580221154277e-08,0.0019391620773397482,9.476002797495022e-06,1.1462135569386012e-06,0.11436590747460063
1873.9291495741488,0.8869699573487828,0.5608886718749999,1.3924277226539111e-14,0.6313346528493694,1.599460608513356e-14,0.0432785269910841,0.0004630876595571073,0.02764434421798039,5.543270480686862e-05,0.23942554160537466,0.000273307948833759,8.906687595520559e-08,9.63326320387811e-06,0.0013042321263797344,0.0012380469112009348,1.1145726360736596e-06,3.926519031482113e-05,3.041024102283317e-10,3.3293073988115303e-08,1.0701118314322685e-12,0.00024164501216212108,2.6284206852435885e-06,4.663650554607959e-07,1.5124035819836408e-06,0.05254239654602958,1.4827963604801192e-06,2.595703944338197e-05,5.914792566965492e-13,0.00017587066769943817,8.488454215325514e-08,0.0019304428484494865,9.082606667110259e-06,1.1217028380949047e-06,0.12389639976417843
1881.392201797215,0.8908864530921687,0.5608984374999999,-1.0639338363106261e-15,0.6318091776015068,7.346996708839037e-16,0.04348733137967933,0.00047322028360020295,0.026770346863220124,5.525176898806694e-05,0.24087032815924556,0.0002820986632864406,8.408132581010452e-08,9.289375226497728e-06,0.001308175552484114,0.0012170411053415227,1.0458031242691372e-06,3.845823753474031e-05,2.9204257342253767e-10,3.22481312392109e-08,9.802555663713882e-13,0.00023679830758251136,2.5278138263664664e-06,4.499814626806083e-07,1.4667520259734901e-06,0.05129992387999798,1.3730714008403944e-06,2.70621839164021e-05,5.139867801359982e-13,0.00017820899548918787,8.50578030792992e-08,0.0019204221904057864,8.703287756443732e-06,1.0970621017934447e-06,0.13342689205364522
1888.6873877378302,0.8947189416504836,0.5609082031249999,2.910669930218294e-14,0.6322752618488678,3.093537921535684e-14,0.043693019903307276,0.0004832100992568747,0.025917010646748766,5.5017293457364554e-05,0.24228124893999078,0.00029085045021279976,7.941162901551301e-08,8.954236241175149e-06,0.0013113981309648538,0.0011955516884728607,9.812823829446703e-07,3.764460940541002e-05,2.808468364178824e-10,3.125482640988311e-08,9.10652423153283e-13,0.00023185603794388253,2.4299054991695353e-06,4.34092258357582e-07,1.4216555215483268e-06,0.05008512224461335,1.2723246784107515e-06,2.8169480745694112e-05,4.733714061908623e-13,0.00018038038970045664,8.509775786691223e-08,0.0019091586367615539,8.337741346650734e-06,1.0723151178500668e-06,0.14295738434322303
1895.814778260782,0.8984672166258663,0.5609179687499999,-5.699709981022437e-16,0.6327327646169183,8.261083182134561e-16,0.043895583771378734,0.0004930438241719651,0.025084353500263754,5.473088150300928e-05,0.24365830163547864,0.0002995473920115097,7.503678156065813e-08,8.628007445229425e-06,0.0013139078483265763,0.0011736346457153224,9.207703839754785e-07,3.6826570398567615e-05,2.7033685027736307e-10,3.030843301627353e-08,8.326076683707292e-13,0.0002268343578901876,2.3347335221736724e-06,4.186929322058894e-07,1.3771756031529958e-06,0.048898017607834125,1.1797656532129468e-06,2.9276000519204063e-05,4.0487949255945834e-13,0.00018238178172023728,8.500728933210336e-08,0.0018967126500658525,7.98565635382282e-06,1.047489831638428e-06,0.15248787663280083
1902.7746802064976,0.9021312005523863,0.5609277343749999,6.356922545191522e-15,0.6331815646356195,7.665152343278884e-15,0.04409502015032692,0.0005027087097563354,0.024272358921401907,5.43942950592019e-05,0.24500153676216269,0.00030817385515362545,7.093734393056603e-08,8.31080737621315e-06,0.0013157145744552765,0.0011513456073703962,8.64038217551724e-07,3.600625296228851e-05,2.605198308060731e-10,2.940489019615315e-08,7.692642911100525e-13,0.0002217489312189642,2.2423255052455068e-06,4.037781055308185e-07,1.333368764566027e-06,0.047738587704434815,1.094677501018394e-06,3.037878962379354e-05,3.628252139044403e-13,0.0001842108324089063,8.478994615133695e-08,0.0018831462544514955,7.646716462268561e-06,1.0226178150349466e-06,0.16201836892237864
1909.567628675111,0.9057109406616813,0.5609375,2.5568530378719402e-14,0.6336215600628501,2.6803189282567755e-14,0.04429133189252674,0.0005121925879122166,0.023480977213273652,5.400944090905466e-05,0.24631105580256776,0.0003167145696840455,6.709507575530091e-08,8.002714093401326e-06,0.0013168299621769636,0.0011287395640142681,8.10867173528689e-07,3.518565439141738e-05,2.513071145068296e-10,2.85404632167256e-08,7.125482571186659e-13,0.00021661486578124185,2.1526989504564283e-06,3.893413337242937e-07,1.2902862071335072e-06,0.0466067639033695,1.0164096550515552e-06,3.147488971352985e-05,3.303690463286986e-13,0.00018586592645867888,8.444987982670661e-08,0.0018685226754629571,7.320600533649336e-06,9.977331398721899e-07,0.17154886121195645
1916.1943785816682,0.9092066050830968,0.5609472656250001,1.947918843100178e-14,0.6340526681109423,2.048019301394826e-14,0.044484527245163046,0.000521483912950202,0.022710126829268255,5.357835711586452e-05,0.24758700917971757,0.0003251547030223121,6.349293840355742e-08,7.703767936145942e-06,0.0013172673389533832,0.0011058705995669526,7.610486787273497e-07,3.4366635635062694e-05,2.426094073367636e-10,2.7711802782841075e-08,6.551407371519604e-13,0.00021144665776253924,2.0658618191981605e-06,3.7537532739844446e-07,1.2479740171512964e-06,0.045502433224324935,9.443714035688685e-07,3.2561357278112425e-05,2.89053347179011e-13,0.00018734616102173806,8.399178636030409e-08,0.0018529059927733242,7.006983488864352e-06,9.728717124697451e-07,0.18107935350164528
1922.6558955664407,0.9126184791510374,0.5609570312500001,2.929950576108581e-14,0.6344748245924589,3.0036644946055895e-14,0.04467461954302727,0.0005305717977897492,0.021959695809633823,5.310319977496958e-05,0.2488295940928892,0.00033347992457039303,6.011507976363228e-08,7.413974376250267e-06,0.0013170415914267068,0.0010827916437539562,7.143842197423286e-07,3.355092144965376e-05,2.3441191843229426e-10,2.6915988526270494e-08,6.083197885378431e-13,0.00020625814476364296,1.981813115301538e-06,3.618721507367975e-07,1.2064733726490383e-06,0.04442544047880443,8.780260341867593e-07,3.363528259674888e-05,2.6476115359026777e-13,0.00018865132836537576,8.342084402941755e-08,0.0018363608103412542,6.705537167010504e-06,9.480706613928686e-07,0.1906098457912231
1928.953346348922,0.9159469600475617,0.5609667968750001,3.4956195517084726e-15,0.6348879833975827,3.980733797721078e-15,0.044861626889149124,0.0005394460438927143,0.021229543296194184,5.2586230823330184e-05,0.25003905224138967,0.00034167645520128884,5.694660787672221e-08,7.133306685472481e-06,0.0013161690437470538,0.0010595542452136158,6.706847107736529e-07,3.274010146277432e-05,2.266224139365329e-10,2.615033492788621e-08,5.578866718127246e-13,0.00020106246716701393,1.9005432261898622e-06,3.4882315316846794e-07,1.165820574650393e-06,0.043375590508905666,8.168851782692061e-07,3.469380756916441e-05,2.252932015062014e-13,0.00018978189251407014,8.274264423832316e-08,0.0018189519502483963,6.415930853299261e-06,9.233675574642244e-07,0.20014033808068987
