T [K],vel [m/s],dist [m],X_H,X_H2,X_O,X_OX,X_OH,X_OHX,X_H2O,X_O2,X_O2X,X_HO2,X_H2O2,X_O3,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_N2H2,X_N2H3,X_N2H4,X_NO,X_HNO,X_H2NO,X_HNOH,X_NH2OH,X_N2O,X_HNNO,X_NO2,X_HONO,X_NO3,X_HNO3,X_N2O3,X_N2O4,X_HE,X_AR,X_N2,tau [ms]
1497.488095093768,0.3475733784308599,0.0175482177734375,1.2910701700409241e-05,0.017836546451824593,3.101777003973775e-06,7.064511044314988e-11,9.396128733472424e-06,3.5078336571102e-13,0.15965002403050335,0.07532776877589907,4.179832996754901e-05,6.754793756600528e-05,1.1383498341100559e-05,3.5905531339865732e-09,6.612800798312332e-08,3.5204842989846652e-06,0.0004405245187165226,0.12968902840339339,2.086961241683034e-09,6.120382216605188e-05,3.116521309170236e-07,0.00011314059759278396,0.0009164624414390122,9.493472169144221e-05,9.607611571286692e-05,5.181578986614912e-06,3.6506742634476747e-06,0.0008399186014188239,9.663985992265636e-09,5.183393617072073e-05,9.855547290059008e-07,8.032058463878202e-10,1.2519713077021692e-09,4.334002258120523e-12,1.0075813602096867e-14,-3.5987390440013265e-15,-5.642474671894189e-15,0.6147226656657336,-0.059730197979036836
1505.654164768072,0.34961062995476627,0.017548828125,1.3713166824268882e-05,0.017931934636992386,3.284406110181521e-06,7.522050399152382e-11,1.0041521333968013e-05,3.621285234778183e-13,0.16121557229726752,0.07442061083926049,4.2265379544958805e-05,6.80301966287591e-05,1.0670663837153268e-05,3.5808762210569067e-09,7.329777282391173e-08,3.792089533792566e-06,0.0004570162896490506,0.12861871863637803,2.1920776782484063e-09,6.192273408788844e-05,3.2183763645946183e-07,0.00011013020471659614,0.000932305907702078,9.435164132009018e-05,9.559003098282556e-05,5.238184039392298e-06,3.6557831858051956e-06,0.0008489837737355568,1.0066686501299252e-08,5.086776132003486e-05,9.289952027116371e-07,7.646611208294713e-10,1.196487797643765e-09,3.819967834195949e-12,9.534231908222348e-15,-4.2789505334654435e-17,-2.1395118259950277e-15,0.6149999618447378,-0.058559017626511056
1513.8164341885083,0.35164899677222455,0.0175494384765625,1.4552391774352496e-05,0.018028228514594426,3.4735874683100123e-06,7.995648501764545e-11,1.072355612728371e-05,3.7298215560508955e-13,0.16278285185050975,0.07351179725598453,4.272714350519411e-05,6.846031403399956e-05,9.998385034227801e-06,3.5682436295552845e-09,8.1097462832048e-08,4.079255867586326e-06,0.0004737529191500167,0.1275457450856022,2.3009201773868334e-09,6.264720324527572e-05,3.3183669048826965e-07,0.00010706035890776173,0.0009482420589357787,9.3715221839323e-05,9.501720149109688e-05,5.289504502918201e-06,3.6586883818744598e-06,0.0008580015388229299,1.0474559207275748e-08,4.989459986903912e-05,8.760613063121954e-07,7.273028981149933e-10,1.143376973862437e-09,3.3654827969913195e-12,8.993838630359607e-15,-1.9258682866158492e-15,-4.0722727783515786e-15,0.6152787760707916,-0.05738783727397834
1521.973023906822,0.35368801406456035,0.017550048828124998,1.5429029843492746e-05,0.018125446954667696,3.66921431884618e-06,8.484777603869695e-11,1.1443556087435841e-05,3.837175693690484e-13,0.16435147707253936,0.07260157169870607,4.3182943444943995e-05,6.883742420994205e-05,9.36501195719611e-06,3.55268882054525e-09,8.956488794103205e-08,4.382375028168785e-06,0.0004907132766838457,0.1264702876902564,2.413493089767682e-09,6.337749425870327e-05,3.416161111704473e-07,0.00010394269061484376,0.0009642576550833884,9.30273826457863e-05,9.435872472514773e-05,5.335341267599471e-06,3.659330471767644e-06,0.0008669643614088128,1.0886825630241482e-08,4.891560459323714e-05,8.265075732912784e-07,6.911621362303563e-10,1.0925389881238515e-09,2.972138851182046e-12,8.495065322678667e-15,3.589639065691327e-15,1.3957808600073897e-15,0.6155590787536893,-0.05621665692145256
1530.1220326182872,0.35572720957845155,0.017550659179687497,1.634367514681216e-05,0.018223608137205683,3.871147794370584e-06,8.988616950967873e-11,1.2202840652790319e-05,3.9390836995039245e-13,0.16592105438802837,0.07169018291365721,4.363208338411632e-05,6.916079675397045e-05,8.768849168284329e-06,3.534229308640147e-09,9.873855333366454e-08,4.701809240761396e-06,0.0005078750338885432,0.12539253365385938,2.5297901424683438e-09,6.411376336888822e-05,3.51144022444061e-07,0.0001007888806240165,0.0009803388245346828,9.22901158509067e-05,9.361607713551392e-05,5.375516735663148e-06,3.657657097619569e-06,0.0008758643698272443,1.1302629825200502e-08,4.7931915193080336e-05,7.80104576869186e-07,6.562384402539043e-10,1.0438553241315504e-09,2.6221552723039743e-12,8.00086091964127e-15,2.133333770019616e-15,-1.0086942018058401e-16,0.6158408384040442,-0.05504547656891984
1538.2615389123594,0.35776610416262455,0.01755126953125,1.7296860538891354e-05,0.018322729441142608,4.079212884462549e-06,9.506413915626735e-11,1.3002770294589197e-05,4.03953211555043e-13,0.16749118254522272,0.07077788448829571,4.407385198690717e-05,6.942983480063825e-05,8.208179565457831e-06,3.5129191903200124e-09,1.0865780581365649e-07,5.037890034896155e-06,0.0005252147390737114,0.12431267752927581,2.6497945319533096e-09,6.485604244130376e-05,3.60389376505192e-07,9.761054765788136e-05,0.0009964710831433408,9.150547349452275e-05,9.279111334881659e-05,5.409871039084511e-06,3.653623629148359e-06,0.0008846933570324846,1.172109091085547e-08,4.6944656549237926e-05,7.366366363961318e-07,6.225541985934484e-10,9.972385358126296e-10,2.3211574061674004e-12,7.545755574358238e-15,7.679643521140145e-15,5.449186816948634e-15,0.6161240216033217,-0.05387429621638712
1554.506419862654,0.36184158236887526,0.017552490234375002,1.9320110158560294e-05,0.0185238994957293,4.5130511516784924e-06,1.057963057747e-10,1.4729031859702187e-05,4.226883406385213e-13,0.1706318791663304,0.06895132921602799,4.493316507262512e-05,6.980390152260172e-05,7.187908980921628e-06,3.4618999326052013e-09,1.3085068941534697e-07,5.760814656240764e-06,0.0005603536417680743,0.12214726628163204,2.900916035901575e-09,6.635827893835778e-05,3.7793836594382886e-07,9.121472609301399e-05,0.0010288435354003445,8.980064516119607e-05,9.090147541103187e-05,5.460673474864967e-06,3.6383827848254e-06,0.0009021133044913878,1.2563083022810384e-08,4.496276484281866e-05,6.578683645750176e-07,5.588607668324328e-10,9.098349487905297e-10,1.8184562371957051e-12,6.6773975957743676e-15,3.853439695327331e-16,-1.823974267974044e-15,0.6166945432684547,-0.05153193551132168
1570.6901411879248,0.3659100325669058,0.0175537109375,2.1501657561552022e-05,0.018729089671579196,4.968691684805377e-06,1.1695882365914725e-10,1.663164535712707e-05,4.3979869960656123e-13,0.17376978551463076,0.06712430341876437,4.5754431603188264e-05,6.995893746256238e-05,6.288967531984621e-06,3.400184737950084e-09,1.5646308072311633e-07,6.552959332215832e-06,0.0005959039170622857,0.11997600172341635,3.1663847328665483e-09,6.788125814945968e-05,3.9408607801213286e-07,8.485290306679961e-05,0.001061232648551802,8.793281253150203e-05,8.871466183568117e-05,5.487200199901633e-06,3.6134365272657473e-06,0.0009191455504556186,1.34044645084651e-08,4.297958609587762e-05,5.886419407107566e-07,5.000503813370039e-10,8.296123728387369e-10,1.4320531666425913e-12,5.896396379761877e-15,-6.810486182806656e-16,-2.9641890322711025e-15,0.6172702577959706,-0.04918957480626318
1586.796890219354,0.36996744229101775,0.017554931640625,2.3842780034069773e-05,0.018938400281006348,5.443793932926352e-06,1.2844842650853442e-10,1.871904126516758e-05,4.551083707285229e-13,0.17690148237041148,0.06529896694215798,4.653170961019306e-05,6.98960546124281e-05,5.498992032863888e-06,3.328418535510697e-09,1.8578173761841205e-07,7.4153187843722205e-06,0.0006316569775576679,0.11780068831485437,3.4456595869567263e-09,6.941960935620279e-05,4.087116453194713e-07,7.86033528810209e-05,0.0010935041809252588,8.591924042891749e-05,8.625689586172112e-05,5.4892759775306286e-06,3.5787634425016427e-06,0.0009357136632531742,1.4237442732360117e-08,4.100319277527716e-05,5.277727770170402e-07,4.4602246876176167e-10,7.55977921205442e-10,1.1321987683916978e-12,5.191058025284605e-15,-2.779582175471218e-16,-2.6405633525900617e-15,0.6178508246391194,-0.04684721410120468
1602.8107389801098,0.3740097395955897,0.01755615234375,2.634352246575106e-05,0.019151908936982927,5.935564625433135e-06,1.401497997036629e-10,2.0998806543291787e-05,4.685889041327667e-13,0.18002347753974896,0.06347752615379945,4.725907924812686e-05,6.961880559923872e-05,4.806348609205435e-06,3.247380987330262e-09,2.1908155978589587e-07,8.348140643383518e-06,0.0006674002730206223,0.11562323809374753,3.738009534761208e-09,7.096515743885279e-05,4.217423169665323e-07,7.25343969479409e-05,0.0011255169232747913,8.377720710489402e-05,8.355850004664864e-05,5.467171291433861e-06,3.53450768640278e-06,0.0009517368286640423,1.5054047678178807e-08,3.9041210286740855e-05,4.7420923431788303e-07,3.966279251816555e-10,6.883960961936878e-10,8.995660547900353e-13,4.555863630404724e-15,8.354739496535354e-16,-1.5703766531428713e-15,0.6184358685331293,-0.04450485339614618
1618.7157217180552,0.3780328129021829,0.017557373046874998,2.900265043988392e-05,0.01936966771141298,6.440824308517554e-06,1.5193824157029647e-10,2.3477446555617573e-05,4.802770767047409e-13,0.1831322255450731,0.061662221707452725,4.7930746803704336e-05,6.913310726357827e-05,4.200280123347703e-06,3.1579560509074143e-09,2.566191894519244e-07,9.350892026506372e-06,0.0007029215328966591,0.11344566358222467,4.042512417414887e-09,7.250698754095167e-05,4.33154080022256e-07,6.670277969349881e-05,0.0011571240024832693,8.152381097951584e-05,8.065292148852173e-05,5.4215990602057116e-06,3.4809811979781724e-06,0.0009671304704296459,1.5846348852575187e-08,3.7100783853559386e-05,4.2702939286380314e-07,3.516710944048629e-10,6.263819672352696e-10,7.184034260716778e-13,3.989430054576657e-15,4.787874934790568e-15,2.373375786716315e-15,0.6190249786560107,-0.04216249269108768
1634.4959159137466,0.382032531839509,0.01755859375,3.181763974463021e-05,0.019591700694140436,6.956064597712177e-06,1.6368262790744417e-10,2.61602353916523e-05,4.902101097518998e-13,0.1862241485675663,0.0598553155111835,4.854115095645745e-05,6.844710399458077e-05,3.670953255985846e-06,3.061101874963948e-09,2.98627784950523e-07,1.0422244204711545e-05,0.0007380124791495398,0.11127006870668303,4.3580569395427455e-09,7.403170007269893e-05,4.4296655210813624e-07,6.115287601290127e-05,0.0011881743707043662,7.917582100227764e-05,7.757569376056923e-05,5.353681135387594e-06,3.418658656883816e-06,0.0009818070301406733,1.660663780180089e-08,3.518855795716202e-05,3.854290225054681e-07,3.109312598880343e-10,5.694975905373393e-10,5.753988382165182e-13,3.478604368497641e-15,1.1564300154194379e-15,-1.2088164380251374e-15,0.619617708165352,-0.039820131986022245
1650.135525959737,0.3860047689947718,0.017559814453125003,3.4784691537385574e-05,0.019818002057866328,7.477509742261746e-06,1.752495418902618e-10,2.9051081447764284e-05,4.986298239477508e-13,0.18929565836386134,0.05805907705659883,4.9085067772920605e-05,6.757098627784369e-05,3.2094452687626706e-06,2.9578455438457397e-09,3.45312517941744e-07,1.15600727804057e-05,0.0007724719701983479,0.10909863776831,4.683348069317672e-09,7.55238329442708e-05,4.5123508204349367e-07,5.591668977969304e-05,0.0012185144577961753,7.674955806215928e-05,7.436338150595043e-05,5.2648989936800966e-06,3.3481652916366435e-06,0.0009956768985723398,1.7327631569348964e-08,3.331066512365759e-05,3.4870770699444426e-07,2.7416778910996945e-10,5.17351613205502e-10,4.651974572664707e-13,3.0295355801180143e-15,4.005159005357169e-15,1.6445668967298447e-15,0.6202135741883947,-0.037477771280956806
1665.6189683883695,0.3899454220745134,0.01756103515625,3.7898766258933626e-05,0.02004853470837599,8.001183585874117e-06,1.8650601658817824e-10,3.2152401077112446e-05,5.056376743421847e-13,0.1923431787995502,0.05627576929565993,4.955771070144523e-05,6.651677262103495e-05,2.8076994875522635e-06,2.849228902452508e-09,3.9684651940163913e-07,1.2761470979550682e-05,0.0008061085616106567,0.10693362261128014,5.01691589742529e-09,7.69664149008933e-05,4.580414671379891e-07,5.101453228991307e-05,0.0012479899574952024,7.426079738097406e-05,7.105256176493342e-05,5.157033426212535e-06,3.2702579980664766e-06,0.0010086494839174733,1.8002580084690203e-08,3.1472720503397145e-05,3.162555208827619e-07,2.411176518692561e-10,4.695741537720016e-10,3.7552058668724773e-13,2.6253439912111096e-15,-1.1378126616650301e-15,-3.5513774663878396e-15,0.6208120583488254,-0.03513541057589831
1680.9309573742887,0.3938504364390201,0.017562255859375,4.1153632621096185e-05,0.02028322956942629,8.522980668222855e-06,1.973241650622354e-10,3.546500224346352e-05,5.115947951875411e-13,0.19536316861591793,0.05450763427180324,4.995482236982599e-05,6.529806074702279e-05,2.458468343404861e-06,2.736320022196067e-09,4.533673639011334e-07,1.4022774520029081e-05,0.0008387425206032508,0.10477732819246555,5.3571287234164914e-09,7.834160487219827e-05,4.6348458192777945e-07,4.645622104218048e-05,0.0012764477111571425,7.172468487526443e-05,6.767889039428792e-05,5.032097393771169e-06,3.185801089389358e-06,0.0010206343968336459,1.8625443383079258e-08,2.9679820150339144e-05,2.875412224443746e-07,2.11523167571179e-10,4.258406184451886e-10,3.060583547657546e-13,2.272790661977114e-15,1.6491458633694033e-15,-8.200673455501158e-16,0.6214126079128933,-0.03279304987083981
1696.0565891626982,0.3977158274341664,0.0175634765625,4.454192916652121e-05,0.020521985529142396,9.038739110387255e-06,2.0758366574802849e-10,3.898798115660011e-05,5.167643151969368e-13,0.19835214411712024,0.052756878707184575,5.0272754897139884e-05,6.392975283986056e-05,2.155253680630296e-06,2.620161897365109e-09,5.149739143019414e-07,1.5339596706576142e-05,0.0008702073648183493,0.10263209679555439,5.702210135083195e-09,7.963136763454607e-05,4.6767172793683355e-07,4.2242616227814835e-05,0.001303737646140235,6.915566277717074e-05,6.427629027461194e-05,4.892265962894127e-06,3.095737994549388e-06,0.0010315427264658704,1.9190947239610943e-08,2.79365400939528e-05,2.621017602562838e-07,1.8512005182408237e-10,3.858439121382261e-10,2.5169027518591936e-13,1.9620511057791325e-15,5.0942123310341225e-15,2.616325819233403e-15,0.6220146375850031,-0.030450689165788247
1710.9814241279419,0.4015377023929103,0.017564697265625,4.8055237436801794e-05,0.02076467004413605,9.544313587536572e-06,2.1717511220821492e-10,4.2718636528459566e-05,5.214143423775344e-13,0.20130670143997736,0.051025659757981255,5.050853637015239e-05,6.242776092320094e-05,1.8922489806343911e-06,2.50176463311477e-09,5.817236748037002e-07,1.670687325367491e-05,0.0009003510113762188,0.10050029117237634,6.050260506994749e-09,8.081813822755731e-05,4.70711452078795e-07,3.8367315598048326e-05,0.001329714722186463,6.656740296335946e-05,6.087628591299975e-05,4.739807062515077e-06,3.001060887330539e-06,0.001041288377686093,1.9694674731626208e-08,2.624693533830267e-05,2.3953322258301486e-07,1.6164094168170386e-10,3.4929539884583624e-10,2.0616570836446114e-13,1.685306199270687e-15,1.563338549727731e-15,-9.280889793447207e-16,0.622617531977319,-0.028108328460729748
1725.6915652287296,0.4053122819931975,0.01756591796875,5.1684165936455415e-05,0.021011120371089865,1.0035646459042804e-05,2.2600286352409897e-10,4.6652405833376934e-05,5.259603503414903e-13,0.20422353806983573,0.049316071151763376,5.0659921472280245e-05,6.080869923234552e-05,1.6642846207556646e-06,2.3821021473255006e-09,6.536306249819582e-07,1.8118916392657072e-05,0.000929036617560463,0.09838427692712465,6.3992825270281114e-09,8.188543339011109e-05,4.72708106355832e-07,3.4818351543254445e-05,0.0013542408366634191,6.39727480637499e-05,5.750749597550774e-05,4.577016153102799e-06,2.902780040571946e-06,0.0010497894361529714,2.013313194944014e-08,2.461453794529994e-05,2.1948303296886155e-07,1.4083593983734826e-10,3.1593795973332003e-10,1.7134799479850045e-13,1.4469161194398718e-15,4.084487234889738e-15,1.6385696904744923e-15,0.6232206487669887,-0.02576596775566431
1740.173731788651,0.4090359206016878,0.017567138671875003,5.5418444244686024e-05,0.0212611453808679,1.0508835287289284e-05,2.3398635020819124e-10,5.078282794701463e-05,5.30679386284005e-13,0.20709947335994605,0.04763012989597898,5.072542496629093e-05,5.908957164717056e-05,1.466775868730698e-06,2.2620775808448944e-09,7.30663543907e-07,1.9569477926118614e-05,0.0009561431792628665,0.0962864044672786,6.747210178681587e-09,8.281837767648837e-05,4.7375815837513725e-07,3.157977060532854e-05,0.001377186640383891,6.1383661490666e-05,5.4195284070653236e-05,4.4061571985785635e-06,2.8018946073979228e-06,0.0010569695255925105,2.0503737797768934e-08,2.3042354317482723e-05,2.0164310627044485e-07,1.2245615799508024e-10,2.855230567175158e-10,1.429271464593606e-13,1.2390940895423355e-15,6.160998575984498e-15,3.749326675046147e-15,0.623823322472351,-0.02342360705059887
1754.415327691833,0.41270512548752364,0.017568359375000002,5.924702660136026e-05,0.021514527883867502,1.0960195399401798e-05,2.4106179956896745e-10,5.510153603155163e-05,5.358773434558478e-13,0.20993146774149607,0.04596976375714533,5.070433765713542e-05,5.7287463465481226e-05,1.2956733012864985e-06,2.1425269483853363e-09,8.127449542608303e-07,2.1051820901078554e-05,0.0009815659327869354,0.09420899086638503,7.091940616842622e-09,8.360412313948984e-05,4.7394813341512077e-07,2.863301716279644e-05,0.0013984332184141521,5.8811188069511966e-05,5.096155939670652e-05,4.229411689509101e-06,2.6993664573181317e-06,0.001062759121088806,2.0804842718824127e-08,2.153286300033647e-05,1.857440287880136e-07,1.0626939667875777e-10,2.5782299856444585e-10,1.1960833416913056e-13,1.0564467242473782e-15,3.455940479064065e-15,1.1177881276019304e-15,0.6244248688143013,-0.021081246345540372
