T,D,X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,t
1299.9999,3.20657722e-06,0,0.714828892,0,3.21451144e-10,6.36101562e-09,0.190114064,3.4760837e-10,6.5766599e-11,2.92441362e-10,2.83524873e-13,2.45234117e-09,6.79818503e-15,6.41925279e-18,8.03077562e-21,1.60246998e-14,3.74455707e-27,1.00868783e-25,1.01099415e-36,5.23450736e-18,4.86606254e-19,6.95907941e-19,1.36756425e-14,0.0950570237,7.66770674e-19,3.10912212e-21,2.1092795e-28,4.34074897e-16,5.98235217e-20,9.88055729e-09,1.76546463e-13,2.63013807e-19,0.0158913792
1299.99988,3.20657725e-06,0,0.714828892,0,4.16314953e-10,7.1710185e-09,0.190114064,4.49190101e-10,9.57542619e-11,3.69170216e-10,3.70626991e-13,2.80397421e-09,9.85000078e-15,7.34982486e-18,1.2289718e-20,2.01324953e-14,5.47663541e-27,1.69695744e-25,2.23185932e-36,7.98280597e-18,6.5065378e-19,1.04385353e-18,1.79693763e-14,0.0950570221,1.05158399e-18,4.56810159e-21,3.05926155e-28,6.50977532e-16,6.74415005e-20,1.1368723e-08,2.3178349e-13,3.56911732e-19,0.0181704363
1299.99987,3.20657729e-06,0,0.714828891,0,5.2236704e-10,7.95755925e-09,0.190114063,5.6235877e-10,1.32973822e-10,4.51648652e-10,4.69364093e-13,3.15558995e-09,1.36219757e-14,8.28290263e-18,1.78859674e-20,2.45412238e-14,7.62272075e-27,2.6594984e-25,4.46607416e-36,1.15712181e-17,8.41192415e-19,1.49302137e-18,2.28713063e-14,0.0950570205,1.38683369e-18,6.40315033e-21,4.23409163e-28,9.30846683e-16,7.48388619e-20,1.28760113e-08,2.9482163e-13,4.66741177e-19,0.0204494934
1299.99985,3.20657732e-06,0,0.71482889,0,6.3928332e-10,8.7213177e-09,0.190114062,6.86684582e-10,1.77912065e-10,5.39108429e-10,5.79731237e-13,3.50718838e-09,1.81623396e-14,9.21848845e-18,2.50252609e-20,2.92197847e-14,1.02091321e-26,3.9435197e-25,8.27888158e-36,1.6118482e-17,1.05921209e-18,2.05687474e-18,2.83895266e-14,0.0950570189,1.77443512e-18,8.64942628e-21,5.6488801e-28,1.28194784e-15,8.20220002e-20,1.44026585e-08,3.65764706e-13,5.93094662e-19,0.0227285504
1299.99984,3.20657735e-06,0,0.714828889,0,7.66749101e-10,9.46295395e-09,0.190114062,8.21750817e-10,2.30989559e-10,6.30855073e-10,7.01723482e-13,3.85876947e-09,2.35145676e-14,1.01565845e-17,3.39215015e-20,3.41423941e-14,1.3259459e-26,5.59442465e-25,1.44313657e-35,2.17456274e-17,1.30572036e-18,2.74905801e-18,3.45322209e-14,0.0950570172,2.21631405e-18,1.13405422e-20,7.31724546e-28,1.71260643e-15,8.89971245e-20,1.59488418e-08,4.44717676e-13,7.36573095e-19,0.0250076075
1299.99982,3.20657739e-06,0,0.714828889,0,9.04458823e-10,1.0183109e-08,0.190114061,9.6715346e-10,2.92566688e-10,7.26261637e-10,8.35335887e-13,4.21033321e-09,2.97181335e-14,1.10971931e-17,4.47969051e-20,3.92877883e-14,1.67948417e-26,7.65551101e-25,2.39134209e-35,2.85760032e-17,1.5817394e-18,3.58339832e-18,4.13076403e-14,0.0950570156,2.71440583e-18,1.45088216e-20,9.25155063e-28,2.23120171e-15,9.57702637e-20,1.75146848e-08,5.31786362e-13,8.97785598e-19,0.0272866646
1299.9998,3.20657744e-06,0,0.714828888,0,1.14979441e-09,1.13111488e-08,0.19011406,1.22496623e-09,4.11768379e-10,8.87966351e-10,1.07769646e-12,4.78262979e-09,4.1731203e-14,1.26338512e-17,6.73355255e-20,4.80966147e-14,2.36370736e-26,1.19931357e-24,4.98488806e-35,4.25955376e-17,2.09689746e-18,5.28208682e-18,5.37127363e-14,0.0950570128,3.65061995e-18,2.07680837e-20,1.29984573e-27,3.28537744e-15,1.0637971e-19,2.01060579e-08,6.91167024e-13,1.19977231e-18,0.0309968916
1299.99977,3.2065775e-06,0,0.714828886,0,1.42026402e-09,1.23864847e-08,0.190114059,1.50751648e-09,5.5534575e-10,1.05575583e-09,1.35081923e-12,5.35488022e-09,5.62374621e-14,1.41771814e-17,9.67775565e-20,5.73916654e-14,3.18923838e-26,1.76889166e-24,9.52126794e-35,6.06933086e-17,2.69752746e-18,7.45622908e-18,6.78526533e-14,0.09505701,4.7496423e-18,2.85054574e-20,1.75243528e-27,4.63153662e-15,1.16493603e-19,2.27498131e-08,8.72799377e-13,1.55310611e-18,0.0347071187
1299.99975,3.20657755e-06,0,0.714828885,0,1.71469365e-09,1.34115795e-08,0.190114057,1.81326167e-09,7.24056541e-10,1.22783839e-09,1.65468292e-12,5.92708443e-09,7.33643109e-14,1.57271914e-17,1.34227233e-19,6.71312912e-14,4.16350615e-26,2.48927396e-24,1.69609825e-34,8.34408532e-17,3.38817294e-18,1.0168623e-17,8.37633629e-14,0.0950570072,6.02018785e-18,3.78480191e-20,2.28691112e-27,6.30649541e-15,1.26135108e-19,2.54457913e-08,1.07714467e-12,1.9605147e-18,0.0384173458
1299.99972,3.20657761e-06,0,0.714828884,0,2.03196406e-09,1.43887809e-08,0.190114056,2.14073539e-09,9.18417174e-10,1.40270788e-09,1.98926623e-12,6.49924232e-09,9.32296988e-14,1.72838882e-17,1.80850253e-19,7.72856109e-14,5.29287016e-26,3.37401966e-24,2.85521774e-34,1.11425529e-16,4.17342475e-18,1.34833664e-17,1.01480697e-13,0.0950570043,7.47103965e-18,4.89213989e-20,2.906964e-27,8.34723446e-15,1.35326311e-19,2.81936265e-08,1.30466232e-12,2.42474617e-18,0.0421275729
